time,CapMrktCurUSD,CapMVRVCur,AdrActCnt,HashRate,IssTotUSD,TxCnt,TxTfrCnt,FeeTotNtv,FlowInExUSD,FlowOutExUSD,SplyCur,SplyExNtv,BlkCnt,AdrBalCnt,CapMrktEstUSD,PriceUSD,Puell_Multiple,NVT_proxy,NetFlowExUSD,ExchangeSupplyRatio
2017-03-24,15180766238.53874,1.8009221,702675,4161948.38537841,2057139.6916423144,287687,666043,231.153563469748,71178945.81339702,81988486.19097246,16235011.09840637,868344.55933857,176,15037398,,935.063496201052,1.2718687639552557,24.375319759244327,-10809540.377575442,0.05348592335879627
2017-03-25,15725921903.451391,1.86294639,622498,3145108.72304164,1610203.2849298653,245888,606101,182.61045615988,8764390.035776898,12028568.111854617,16236673.59840636,864974.36620689,133,15092675,,968.543329281122,0.9953886823080819,26.788725968784675,-3264178.0760777183,0.05327288012316684
2017-03-26,15637233759.264332,1.85054884,573816,3925474.04530009,1998137.963270017,214093,557585,149.594930239935,4301540.181021395,6917680.764494987,16238748.59840634,862257.59098391,166,15128252,,962.95805458796,1.234356366562986,29.12335984362266,-2616140.583473592,0.05309877086640354
2017-03-27,16937423477.86234,1.99869446,610984,3121461.28903381,1720816.676335482,239466,580017,201.442964059865,12127731.723276488,15610937.404566163,16240398.59840625,858917.7294791,132,15155257,,1042.91919777908,1.0626425942759177,27.999866552887674,-3483205.6812896747,0.05288772466233617
2017-03-28,16975887612.950308,1.9993941,738882,3665352.27121395,2025003.180011696,294201,687048,231.597112499451,13280211.475208633,12602448.979356892,16242336.09840615,859566.20492283,155,15172160,,1045.16293161894,1.2500031911983267,23.640758867511654,677762.4958517402,0.05292134085362134
2017-03-29,16888765398.051573,1.98727297,677629,3263345.8930808,1793462.862220931,281428,661806,211.945280079667,7583725.662416093,10413826.254687753,16244061.09840603,856844.13934539,138,15218574,,1039.68861578025,1.1067752046910462,24.545049604273803,-2830100.5922716595,0.052748148024970735
2017-03-30,16863262866.30244,1.98163667,689337,3942417.72740472,2127874.7059234437,286076,647976,206.532085019629,9082307.168721309,13674337.271193575,16246111.09840588,852420.16565753,164,15216077,,1037.98766142607,1.3117912690800497,25.07208769831889,-4592030.102472266,0.052469182347347855
2017-03-31,17575951028.326202,2.0572416,634568,3352999.96635802,1825442.2087193192,264354,610379,214.047151009667,17689800.001564264,17870276.058581516,16247798.59840576,852253.32753756,135,15262537,,1081.74353109293,1.1243300092496527,26.619196594911944,-180476.05701725185,0.052453464534031304
2017-04-01,17704176776.530594,2.06862352,642373,3278488.85599451,1797715.873518411,255318,617330,192.370090819802,8770083.535440456,4604436.897606155,16249448.59840573,856076.68864466,132,15295641,,1089.52477182934,1.1068755959731162,26.322143097542213,4165646.637834301,0.05268343005366051
2017-04-02,17966971908.710365,2.09581972,648586,3924251.81247828,2183486.8376198183,239768,614133,176.524110409852,7021173.932858313,10887283.241151515,16251423.59840571,852579.72875815,158,15305063,,1105.56295575687,1.3427577356967393,26.46238452974471,-3866109.308293202,0.05246184887099918
